reference,prediction,ref_has_swear,pred_has_swear
shemale i am going to the hawker centre for chicken rice,,True,False
i am going prick to the hawker centre for chicken rice,,True,False
i am going to the hawker centre for bastard chicken rice,,True,False
fuck tomorrow we have meeting at the bank,,True,False
tomorrow rape we have meeting at the bank,,True,False
tomorrow we have meeting sex at the bank,,True,False
the mrt is very crowded during slut peak hours,,True,False
the mrt is very jackass crowded during peak hours,,True,False
the mrt is very crowded during peak hours,,False,False
can you terrorist help me check the weather forecast,,True,False
can you help me piss check the weather forecast,,True,False
can you help me check asshole the weather forecast,,True,False
my cum favorite food is laksa from old airport road,,True,False
my favorite food is laksa from old airport road,,False,False
tranny my favorite food is laksa from old airport road,,True,False
