model,seed,n_utts,wer_mean,wer_lo,wer_hi,cer_mean,cer_lo,cer_hi,Gender,Age,Race
meralion-2-3b,0,1,1.0,1.0,1.0,0.7665260196905767,0.7665260196905767,0.7665260196905767,F,17,Malay
meralion-2-3b,0,1,2.8876404494382024,2.8876404494382024,2.8876404494382024,2.9239766081871346,2.9239766081871346,2.9239766081871346,F,20s,Chinese
meralion-2-3b,0,1,0.43243243243243246,0.43243243243243246,0.43243243243243246,0.1411192214111922,0.1411192214111922,0.1411192214111922,F,20s,Malay
meralion-2-3b,0,1,85.54411764705883,85.54411764705883,85.54411764705883,78.21882951653944,78.21882951653944,78.21882951653944,F,24,Indian
meralion-2-3b,0,1,1.184782608695652,1.184782608695652,1.184782608695652,0.8862660944206009,0.8862660944206009,0.8862660944206009,F,28,Malay
meralion-2-3b,0,1,0.136986301369863,0.136986301369863,0.136986301369863,0.03529411764705882,0.03529411764705882,0.03529411764705882,F,30s,Indian
meralion-2-3b,0,2,1.5767690253671562,0.7142857142857143,2.439252336448598,1.5007887860245994,0.6404160475482912,2.3611615245009077,F,31,Chinese
meralion-2-3b,0,1,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.032679738562091505,0.032679738562091505,0.032679738562091505,F,34,Chinese
meralion-2-3b,0,1,39.792682926829265,39.792682926829265,39.792682926829265,39.50383141762452,39.50383141762452,39.50383141762452,F,71,Malay
meralion-2-3b,0,1,1.3897058823529411,1.3897058823529411,1.3897058823529411,1.1549295774647887,1.1549295774647887,1.1549295774647887,M,30,Malay
meralion-2-3b,0,1,78.54022988505747,78.54022988505747,78.54022988505747,83.90829694323143,83.90829694323143,83.90829694323143,M,30s,Malay
meralion-2-3b,0,2,1.750777000777001,0.9358974358974359,2.5656565656565657,1.4136999092796654,0.6112311015118791,2.2161687170474518,M,31,Indian
meralion-2-3b,0,1,2.8350515463917527,2.8350515463917527,2.8350515463917527,2.6535433070866143,2.6535433070866143,2.6535433070866143,M,32,Chinese
meralion-2-3b,0,1,0.5978260869565217,0.5978260869565217,0.5978260869565217,0.43357933579335795,0.43357933579335795,0.43357933579335795,M,32,Malay
meralion-2-3b,0,1,0.825,0.825,0.825,0.5149863760217984,0.5149863760217984,0.5149863760217984,M,36,Chinese
meralion-2-3b,0,1,0.3,0.3,0.3,0.09090909090909091,0.09090909090909091,0.09090909090909091,M,40,Chinese
meralion-2-3b,0,1,3.017543859649123,3.017543859649123,3.017543859649123,2.452247191011236,2.452247191011236,2.452247191011236,M,52,Chinese
meralion-2-3b,0,1,2.0833333333333335,2.0833333333333335,2.0833333333333335,1.8602150537634408,1.8602150537634408,1.8602150537634408,M,57,Indian
